high,width,area_,perimeter_,species,area,perimeter
153.5,74.2,11389.7,455.4,smartphone,0.735024668,0.788953009
143.5,71,10188.5,429,smartphone,0.617580286,0.680131904
157.8,72.3,11408.94,460.2,smartphone,0.736905812,0.808738664
160.8,76.1,12236.88,473.8,smartphone,0.817855613,0.864798021
157.6,75.2,11851.52,465.6,smartphone,0.780177985,0.830997527
156.9,75.1,11783.19,464,smartphone,0.773497187,0.824402308
149.1,71.36,10639.776,440.92,smartphone,0.661702689,0.729266282
150.5,77.8,11708.9,456.6,smartphone,0.766233665,0.793899423
158.3,75.8,11999.14,468.2,smartphone,0.794611168,0.841714757
129.8,65.8,8540.84,391.2,smartphone,0.456484373,0.524319868
143.3,71.1,10188.63,428.8,smartphone,0.617592996,0.679307502
147.3,71.85,10583.505,438.3,smartphone,0.65620093,0.718466612
137.3,68.57,9414.661,411.74,smartphone,0.541920077,0.608985985
127.7,66.57,8500.989,388.54,smartphone,0.452588039,0.513355317
117,59.2,6926.4,352.4,smartphone,0.298636464,0.36438582
157.9,73.92,11671.968,463.64,smartphone,0.762622729,0.822918384
159.53,75.23,12001.4419,469.52,smartphone,0.794836231,0.847155812
155.11,75.09,11647.2099,460.4,smartphone,0.760202067,0.809563067
153.56,75.79,11638.3124,458.7,smartphone,0.759332135,0.802555647
163.6,75.6,12368.16,478.4,smartphone,0.830691193,0.883759275
158.7,75.16,11927.892,467.72,smartphone,0.78764507,0.839736191
156,75.3,11746.8,462.6,smartphone,0.769939244,0.818631492
154.5,74.8,11556.6,458.6,smartphone,0.751342906,0.802143446
149.1,72.9,10869.39,444,smartphone,0.684152635,0.741962077
143.1,71,10160.1,428.2,smartphone,0.614803546,0.676834295
142.3,70.4,10017.92,425.4,smartphone,0.600902245,0.665292663
170.7,82.6,14099.82,506.6,smartphone,1,1
143,71,10153,428,smartphone,0.614109361,0.676009893
142.7,70.4,10046.08,426.2,smartphone,0.60365552,0.668590272
158.5,74.5,11808.25,466,smartphone,0.775947367,0.832646331
165.2,76.5,12637.8,483.4,smartphone,0.857054583,0.904369332
147.7,68.7,10146.99,432.8,smartphone,0.613521748,0.695795548
143.2,70.3,10066.96,427,smartphone,0.605697011,0.671887881
145.7,71.4,10402.98,434.2,smartphone,0.638550542,0.701566364
121.5,63,7654.5,369,smartphone,0.369824655,0.432811212
148.9,68.1,10140.09,434,smartphone,0.612847117,0.700741962
153.5,73.9,11343.65,454.8,smartphone,0.730522242,0.786479802
142.1,70.1,9961.21,424.4,smartphone,0.595357564,0.661170651
129,68.2,8797.8,394.4,smartphone,0.481608006,0.537510305
152.6,73.95,11284.77,453.1,smartphone,0.724765395,0.779472383
157.89,74.69,11792.8041,465.16,smartphone,0.774437182,0.829183842
154.9,74.8,11586.52,459.4,smartphone,0.75426826,0.805441055
151.8,72.8,11051.04,449.2,smartphone,0.701913018,0.763396538
145.17,70.49,10233.0333,431.32,smartphone,0.62193442,0.689694971
151,76,11476,454,smartphone,0.743462439,0.783182193
156.2,77.3,12074.26,467,smartphone,0.801955842,0.836768343
138.1,69.6,9611.76,415.4,smartphone,0.561190948,0.624072547
144,73.6,10598.4,435.2,smartphone,0.657657252,0.705688376
137,69,9453,412,smartphone,0.545668578,0.610057708
116.4,50.3,5854.92,333.4,feature Tech,0.193875137,0.286067601
114,50,5700,328,feature Tech,0.178728214,0.263808739
110.4,46.9,5177.76,314.6,feature Tech,0.127667479,0.208573784
116.5,58.9,6861.85,350.8,feature Tech,0.292325246,0.357790602
103,49.8,5129.4,305.6,feature Tech,0.122939199,0.17147568
110.4,46.9,5177.76,314.6,feature Tech,0.127667479,0.208573784
110,45.5,5005,311,feature Tech,0.110776294,0.193734542
112,46,5152,316,feature Tech,0.125148859,0.2143446
111,47.5,5272.5,317,feature Tech,0.13693045,0.218466612
117.2,55.3,6481.16,345,feature Tech,0.255104216,0.333882935
105,44.9,4714.5,299.8,feature Tech,0.08237337,0.147568013
64,88,5632,304,feature Tech,0.172079681,0.164880462
107,46,4922,306,feature Tech,0.102661173,0.173124485
118,50.5,5959,337,feature Tech,0.204051303,0.300906843
105.5,45.5,4800.25,302,feature Tech,0.090757366,0.156636439
110,49,5390,318,feature Tech,0.148418725,0.222588623
104,51,5304,310,feature Tech,0.140010286,0.189612531
99,46,4554,290,feature Tech,0.066680876,0.1071723
98,53,5194,302,feature Tech,0.129255306,0.156636439
95.7,51.7,4947.69,294.8,feature Tech,0.10517295,0.126957955
125.5,55.5,6965.25,362,feature Tech,0.302434927,0.403957131
120,53,6360,346,feature Tech,0.243258094,0.338004946
120,53,6360,346,feature Tech,0.243258094,0.338004946
117.1,50.6,5925.26,335.4,feature Tech,0.200752458,0.294311624
134.6,50.1,6743.46,369.4,feature Tech,0.280749955,0.434460016
115,50,5750,330,feature Tech,0.183616841,0.272052762
117.5,56.5,6638.75,348,feature Tech,0.270512191,0.346248969
88,44,3872,264,feature Tech,0,0
115,56,6440,342,feature Tech,0.251079898,0.3215169
130.1,50.5,6570.05,361.2,feature Tech,0.263795217,0.400659522
118,49.6,5852.8,335.2,feature Tech,0.193667859,0.293487222
116.8,52,6073.6,337.6,feature Tech,0.215256037,0.303380049
122.3,52,6359.6,348.6,feature Tech,0.243218985,0.348722176
113,50,5650,326,feature Tech,0.173839587,0.255564716
117.2,53,6211.6,340.4,feature Tech,0.228748648,0.314921682
116,52,6032,336,feature Tech,0.211188699,0.296784831
115.8,51.4,5952.12,334.4,feature Tech,0.203378628,0.290189613
102.5,45,4612.5,295,feature Tech,0.07240057,0.127782358
109.7,51,5594.7,321.4,feature Tech,0.168432765,0.236603462
98,53,5194,302,feature Tech,0.129255306,0.156636439
112,61.5,6888,347,feature Tech,0.294881998,0.342126958
100.5,58,5829,317,feature Tech,0.191340872,0.218466612
103.5,45.5,4709.25,298,feature Tech,0.081860064,0.140148392
104,46,4784,300,feature Tech,0.089168562,0.148392415
102,45,4590,294,feature Tech,0.070200688,0.123660346
115,61.1,7026.5,352.2,feature Tech,0.308423496,0.363561418
140,50,7000,380,feature Tech,0.305832523,0.478153339
